"Aktarılan Hizmetler","Anahtar Uzunluğu","Ağ Adresi","Ağ Hesap Adı","Ağ Hesap Etki Alanı","Bağlantı Noktası","Bağlantılı Oturum Açma Kimliği",ComputerName,"Ek_Bilgi",EventCode,EventType,Guid,"Güvenlik Kimliği","Hedef Hesap Adı","Hedef Hesap Etki Alanı","Hedef Sunucu Adı","Hesap Adı","Hesap Etki Alanı",HostUrl,IMPHASH,"Kaynak Ağ Adresi","Kaynak Bağlantı Noktası",Keywords,"Kimlik Doğrulama Paketi","Kimliğe Bürünme Düzeyi","Kısıtlanmış Yönetici Modu",LogName,MD5,Message,Name,"Okuma İşlemi",OpCode,"Oturum Açma GUID'si","Oturum Açma Kimliği","Oturum Açma Türü","Oturum Açma İşlemi","Oturum Türü","Paket Adı (yalnızca NTLM)",ProcessID,RecordNumber,SHA1,SHA256,"Sanal_Hesap",SourceName,SystemTime,TaskCategory,ThreadID,Type,UserID,"Yükseltilmiş Belirteç",ZoneId,"_raw","_time",count,eventtype,host,index,linecount,maxLines,outputMode,punct,source,sourcetype,"splunk_server","splunk_server_group","technique_id","technique_name",timeFormat,xmlns,"Çağıran İş İstasyonu","İş İstasyonu Adı","İşlem Adı","İşlem Kimliği"
,,,,,,,,,,,"'{5770385f-c22a-43e0-bf4c-06f5698ffbd9}'",,,,,,,,,,,,,,,,,,"'Microsoft-Windows-Sysmon'",,,,,,,,,"'3768'",,,,,,"'2024-10-22T23:41:20.5038541Z'",,"'4756'",,"'S-1-5-18'",,,"<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Sysmon' Guid='{5770385f-c22a-43e0-bf4c-06f5698ffbd9}'/><EventID>13</EventID><Version>2</Version><Level>4</Level><Task>13</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2024-10-22T23:41:20.5038541Z'/><EventRecordID>94685</EventRecordID><Correlation/><Execution ProcessID='3768' ThreadID='4756'/><Channel>Microsoft-Windows-Sysmon/Operational</Channel><Computer>target-PC.furkan.local</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='RuleName'>-</Data><Data Name='EventType'>SetValue</Data><Data Name='UtcTime'>2024-10-22 23:41:20.498</Data><Data Name='ProcessGuid'>{d65c0252-381b-6718-ff0c-000000002400}</Data><Data Name='ProcessId'>11188</Data><Data Name='Image'>C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe</Data><Data Name='TargetObject'>HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-1320782582-4191448823-1366989374-1104\\Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\msedge.exe</Data><Data Name='Details'>Binary Data</Data><Data Name='User'>FURKAN\bsever</Data></EventData></Event>","2024-10-22T23:41:20.000+0000",,,"TARGET-PC",endpoint,1,,,"<_='://../////'><><_='--'_='{----}'/><></><></><><","XmlWinEventLog:Microsoft-Windows-Sysmon/Operational","XmlWinEventLog:Microsoft-Windows-Sysmon/Operational",splunk,,,,,"'http://schemas.microsoft.com/win/2004/08/events/event'",,,,
,,,,,,,,,,,"'{5770385f-c22a-43e0-bf4c-06f5698ffbd9}'",,,,,,,,,,,,,,,,,,"'Microsoft-Windows-Sysmon'",,,,,,,,,"'3768'",,,,,,"'2024-10-22T23:41:15.5036864Z'",,"'4756'",,"'S-1-5-18'",,,"<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Sysmon' Guid='{5770385f-c22a-43e0-bf4c-06f5698ffbd9}'/><EventID>13</EventID><Version>2</Version><Level>4</Level><Task>13</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2024-10-22T23:41:15.5036864Z'/><EventRecordID>94684</EventRecordID><Correlation/><Execution ProcessID='3768' ThreadID='4756'/><Channel>Microsoft-Windows-Sysmon/Operational</Channel><Computer>target-PC.furkan.local</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='RuleName'>-</Data><Data Name='EventType'>SetValue</Data><Data Name='UtcTime'>2024-10-22 23:41:15.501</Data><Data Name='ProcessGuid'>{d65c0252-1212-6718-b807-000000002400}</Data><Data Name='ProcessId'>8476</Data><Data Name='Image'>C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe</Data><Data Name='TargetObject'>HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-1320782582-4191448823-1366989374-1104\\Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\msedge.exe</Data><Data Name='Details'>Binary Data</Data><Data Name='User'>FURKAN\bsever</Data></EventData></Event>","2024-10-22T23:41:15.000+0000",,,"TARGET-PC",endpoint,1,,,"<_='://../////'><><_='--'_='{----}'/><></><></><><","XmlWinEventLog:Microsoft-Windows-Sysmon/Operational","XmlWinEventLog:Microsoft-Windows-Sysmon/Operational",splunk,,,,,"'http://schemas.microsoft.com/win/2004/08/events/event'",,,,
,,,,,,,,,,,"'{5770385f-c22a-43e0-bf4c-06f5698ffbd9}'",,,,,,,,,,,,,,,,,,"'Microsoft-Windows-Sysmon'",,,,,,,,,"'3768'",,,,,,"'2024-10-22T23:41:09.0126611Z'",,"'4756'",,"'S-1-5-18'",,,"<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Sysmon' Guid='{5770385f-c22a-43e0-bf4c-06f5698ffbd9}'/><EventID>13</EventID><Version>2</Version><Level>4</Level><Task>13</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2024-10-22T23:41:09.0126611Z'/><EventRecordID>94683</EventRecordID><Correlation/><Execution ProcessID='3768' ThreadID='4756'/><Channel>Microsoft-Windows-Sysmon/Operational</Channel><Computer>target-PC.furkan.local</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='RuleName'>-</Data><Data Name='EventType'>SetValue</Data><Data Name='UtcTime'>2024-10-22 23:41:09.011</Data><Data Name='ProcessGuid'>{d65c0252-376e-6718-e50c-000000002400}</Data><Data Name='ProcessId'>7740</Data><Data Name='Image'>C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe</Data><Data Name='TargetObject'>HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-1320782582-4191448823-1366989374-1104\\Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\msedge.exe</Data><Data Name='Details'>Binary Data</Data><Data Name='User'>FURKAN\bsever</Data></EventData></Event>","2024-10-22T23:41:09.000+0000",,,"TARGET-PC",endpoint,1,,,"<_='://../////'><><_='--'_='{----}'/><></><></><><","XmlWinEventLog:Microsoft-Windows-Sysmon/Operational","XmlWinEventLog:Microsoft-Windows-Sysmon/Operational",splunk,,,,,"'http://schemas.microsoft.com/win/2004/08/events/event'",,,,
,,,,,,,,,,,"'{5770385f-c22a-43e0-bf4c-06f5698ffbd9}'",,,,,,,,,,,,,,,,,,"'Microsoft-Windows-Sysmon'",,,,,,,,,"'3768'",,,,,,"'2024-10-22T23:41:03.9167384Z'",,"'4756'",,"'S-1-5-18'",,,"<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Sysmon' Guid='{5770385f-c22a-43e0-bf4c-06f5698ffbd9}'/><EventID>13</EventID><Version>2</Version><Level>4</Level><Task>13</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2024-10-22T23:41:03.9167384Z'/><EventRecordID>94682</EventRecordID><Correlation/><Execution ProcessID='3768' ThreadID='4756'/><Channel>Microsoft-Windows-Sysmon/Operational</Channel><Computer>target-PC.furkan.local</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='RuleName'>-</Data><Data Name='EventType'>SetValue</Data><Data Name='UtcTime'>2024-10-22 23:41:03.914</Data><Data Name='ProcessGuid'>{d65c0252-380e-6718-fe0c-000000002400}</Data><Data Name='ProcessId'>11228</Data><Data Name='Image'>C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe</Data><Data Name='TargetObject'>HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-1320782582-4191448823-1366989374-1104\\Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\msedge.exe</Data><Data Name='Details'>Binary Data</Data><Data Name='User'>FURKAN\bsever</Data></EventData></Event>","2024-10-22T23:41:03.000+0000",,,"TARGET-PC",endpoint,1,,,"<_='://../////'><><_='--'_='{----}'/><></><></><><","XmlWinEventLog:Microsoft-Windows-Sysmon/Operational","XmlWinEventLog:Microsoft-Windows-Sysmon/Operational",splunk,,,,,"'http://schemas.microsoft.com/win/2004/08/events/event'",,,,
,,,,,,,,,,,"'{5770385f-c22a-43e0-bf4c-06f5698ffbd9}'",,,,,,,"http://192.168.10.10:8000/en-GB/api/search/jobs/1729640433.11/event?isDownload=true","00000000000000000000000000000000</Data><Data Name='Contents'>[ZoneTransfer]",,,,,,,,F681374F3E5260C549F8EAEA0ECF856E,,"'Microsoft-Windows-Sysmon'",,,,,,,,,"'3768'",,43883E907BF90B8B78F2A8AE48FCF7112116EE36,AE60A36C09222E0F6E5CAA4AAEFBFF0D3E16F4F3FEDB25C5193FB1AE85D99DF5,,,"'2024-10-22T23:41:03.9019516Z'",,"'4756'",,"'S-1-5-18'",,3,"<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Sysmon' Guid='{5770385f-c22a-43e0-bf4c-06f5698ffbd9}'/><EventID>15</EventID><Version>2</Version><Level>4</Level><Task>15</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2024-10-22T23:41:03.9019516Z'/><EventRecordID>94681</EventRecordID><Correlation/><Execution ProcessID='3768' ThreadID='4756'/><Channel>Microsoft-Windows-Sysmon/Operational</Channel><Computer>target-PC.furkan.local</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='RuleName'>technique_id=T1189,technique_name=Drive-by Compromise</Data><Data Name='UtcTime'>2024-10-22 23:41:03.900</Data><Data Name='ProcessGuid'>{d65c0252-380e-6718-fe0c-000000002400}</Data><Data Name='ProcessId'>11228</Data><Data Name='Image'>C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe</Data><Data Name='TargetFilename'>C:\Users\bsever\Downloads\1729640433_11.csv:Zone.Identifier</Data><Data Name='CreationUtcTime'>2024-10-22 23:40:56.032</Data><Data Name='Hash'>SHA1=43883E907BF90B8B78F2A8AE48FCF7112116EE36,MD5=F681374F3E5260C549F8EAEA0ECF856E,SHA256=AE60A36C09222E0F6E5CAA4AAEFBFF0D3E16F4F3FEDB25C5193FB1AE85D99DF5,IMPHASH=00000000000000000000000000000000</Data><Data Name='Contents'>[ZoneTransfer]  ZoneId=3  HostUrl=http://192.168.10.10:8000/en-GB/api/search/jobs/1729640433.11/event?isDownload=true&amp;timeFormat=%25FT%25T.%25Q%25%3Az&amp;maxLines=0&amp;count=0&amp;filename=&amp;outputMode=csv  </Data><Data Name='User'>FURKAN\bsever</Data></EventData></Event>","2024-10-22T23:41:03.000+0000",0,,"TARGET-PC",endpoint,1,0,csv,"<_='://../////'><><_='--'_='{----}'/><></><></><><","XmlWinEventLog:Microsoft-Windows-Sysmon/Operational","XmlWinEventLog:Microsoft-Windows-Sysmon/Operational",splunk,,T1189,"Drive-by","%25FT%25T.%25Q%25%3Az","'http://schemas.microsoft.com/win/2004/08/events/event'",,,,
,,,,,,,,,,,"'{5770385f-c22a-43e0-bf4c-06f5698ffbd9}'",,,,,,,,"00000000000000000000000000000000</Data><Data Name='Contents'>-</Data><Data Name='User'>FURKAN\bsever</Data></EventData></Event>",,,,,,,,E4F0390EACD96FAB0445FADD3E119EF1,,"'Microsoft-Windows-Sysmon'",,,,,,,,,"'3768'",,70ED4887ECD3DA96FEF2F5E18B7B518950751B67,50DA971F4F1143C0AC7B72E6BCB30B973A75E387664F98A7166C15CFB837FD51,,,"'2024-10-22T23:41:03.9007049Z'",,"'4756'",,"'S-1-5-18'",,,"<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Sysmon' Guid='{5770385f-c22a-43e0-bf4c-06f5698ffbd9}'/><EventID>15</EventID><Version>2</Version><Level>4</Level><Task>15</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2024-10-22T23:41:03.9007049Z'/><EventRecordID>94680</EventRecordID><Correlation/><Execution ProcessID='3768' ThreadID='4756'/><Channel>Microsoft-Windows-Sysmon/Operational</Channel><Computer>target-PC.furkan.local</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='RuleName'>-</Data><Data Name='UtcTime'>2024-10-22 23:41:03.857</Data><Data Name='ProcessGuid'>{d65c0252-380e-6718-fe0c-000000002400}</Data><Data Name='ProcessId'>11228</Data><Data Name='Image'>C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe</Data><Data Name='TargetFilename'>C:\Users\bsever\Downloads\1729640433_11.csv</Data><Data Name='CreationUtcTime'>2024-10-22 23:40:56.032</Data><Data Name='Hash'>SHA1=70ED4887ECD3DA96FEF2F5E18B7B518950751B67,MD5=E4F0390EACD96FAB0445FADD3E119EF1,SHA256=50DA971F4F1143C0AC7B72E6BCB30B973A75E387664F98A7166C15CFB837FD51,IMPHASH=00000000000000000000000000000000</Data><Data Name='Contents'>-</Data><Data Name='User'>FURKAN\bsever</Data></EventData></Event>","2024-10-22T23:41:03.000+0000",,,"TARGET-PC",endpoint,1,,,"<_='://../////'><><_='--'_='{----}'/><></><></><><","XmlWinEventLog:Microsoft-Windows-Sysmon/Operational","XmlWinEventLog:Microsoft-Windows-Sysmon/Operational",splunk,,,,,"'http://schemas.microsoft.com/win/2004/08/events/event'",,,,
,,,,,,,,,,,"'{5770385f-c22a-43e0-bf4c-06f5698ffbd9}'",,,,,,,,"00000000000000000000000000000000</Data><Data Name='Contents'>[ZoneTransfer]",,,,,,,,FBCCF14D504B7B2DBCB5A5BDA75BD93B,,"'Microsoft-Windows-Sysmon'",,,,,,,,,"'3768'",,D59FC84CDD5217C6CF74785703655F78DA6B582B,EACD09517CE90D34BA562171D15AC40D302F0E691B439F91BE1B6406E25F5913,,,"'2024-10-22T23:41:03.8582292Z'",,"'4756'",,"'S-1-5-18'",,3,"<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Sysmon' Guid='{5770385f-c22a-43e0-bf4c-06f5698ffbd9}'/><EventID>15</EventID><Version>2</Version><Level>4</Level><Task>15</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2024-10-22T23:41:03.8582292Z'/><EventRecordID>94679</EventRecordID><Correlation/><Execution ProcessID='3768' ThreadID='4756'/><Channel>Microsoft-Windows-Sysmon/Operational</Channel><Computer>target-PC.furkan.local</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='RuleName'>technique_id=T1189,technique_name=Drive-by Compromise</Data><Data Name='UtcTime'>2024-10-22 23:41:03.857</Data><Data Name='ProcessGuid'>{d65c0252-380e-6718-fe0c-000000002400}</Data><Data Name='ProcessId'>11228</Data><Data Name='Image'>C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe</Data><Data Name='TargetFilename'>C:\Users\bsever\Downloads\1729640433_11.csv:Zone.Identifier</Data><Data Name='CreationUtcTime'>2024-10-22 23:40:56.032</Data><Data Name='Hash'>SHA1=D59FC84CDD5217C6CF74785703655F78DA6B582B,MD5=FBCCF14D504B7B2DBCB5A5BDA75BD93B,SHA256=EACD09517CE90D34BA562171D15AC40D302F0E691B439F91BE1B6406E25F5913,IMPHASH=00000000000000000000000000000000</Data><Data Name='Contents'>[ZoneTransfer]  ZoneId=3  </Data><Data Name='User'>FURKAN\bsever</Data></EventData></Event>","2024-10-22T23:41:03.000+0000",,,"TARGET-PC",endpoint,1,,,"<_='://../////'><><_='--'_='{----}'/><></><></><><","XmlWinEventLog:Microsoft-Windows-Sysmon/Operational","XmlWinEventLog:Microsoft-Windows-Sysmon/Operational",splunk,,T1189,"Drive-by",,"'http://schemas.microsoft.com/win/2004/08/events/event'",,,,
,,,,,,,,,,,"'{5770385f-c22a-43e0-bf4c-06f5698ffbd9}'",,,,,,,,,,,,,,,,,,"'Microsoft-Windows-Sysmon'",,,,,,,,,"'3768'",,,,,,"'2024-10-22T23:41:03.8567353Z'",,"'4756'",,"'S-1-5-18'",,,"<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Sysmon' Guid='{5770385f-c22a-43e0-bf4c-06f5698ffbd9}'/><EventID>11</EventID><Version>2</Version><Level>4</Level><Task>11</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2024-10-22T23:41:03.8567353Z'/><EventRecordID>94678</EventRecordID><Correlation/><Execution ProcessID='3768' ThreadID='4756'/><Channel>Microsoft-Windows-Sysmon/Operational</Channel><Computer>target-PC.furkan.local</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='RuleName'>-</Data><Data Name='UtcTime'>2024-10-22 23:41:03.854</Data><Data Name='ProcessGuid'>{d65c0252-380e-6718-fe0c-000000002400}</Data><Data Name='ProcessId'>11228</Data><Data Name='Image'>C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe</Data><Data Name='TargetFilename'>C:\Users\bsever\Downloads\1729640433_11.csv:Zone.Identifier</Data><Data Name='CreationUtcTime'>2024-10-22 23:40:56.032</Data><Data Name='User'>FURKAN\bsever</Data></EventData></Event>","2024-10-22T23:41:03.000+0000",,,"TARGET-PC",endpoint,1,,,"<_='://../////'><><_='--'_='{----}'/><></><></><><","XmlWinEventLog:Microsoft-Windows-Sysmon/Operational","XmlWinEventLog:Microsoft-Windows-Sysmon/Operational",splunk,,,,,"'http://schemas.microsoft.com/win/2004/08/events/event'",,,,
,,,,,,,,,,,"'{5770385f-c22a-43e0-bf4c-06f5698ffbd9}'",,,,,,,,"00000000000000000000000000000000</Data><Data Name='Contents'>-</Data><Data Name='User'>FURKAN\bsever</Data></EventData></Event>",,,,,,,,E4F0390EACD96FAB0445FADD3E119EF1,,"'Microsoft-Windows-Sysmon'",,,,,,,,,"'3768'",,70ED4887ECD3DA96FEF2F5E18B7B518950751B67,50DA971F4F1143C0AC7B72E6BCB30B973A75E387664F98A7166C15CFB837FD51,,,"'2024-10-22T23:41:03.8565839Z'",,"'4756'",,"'S-1-5-18'",,,"<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Sysmon' Guid='{5770385f-c22a-43e0-bf4c-06f5698ffbd9}'/><EventID>15</EventID><Version>2</Version><Level>4</Level><Task>15</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2024-10-22T23:41:03.8565839Z'/><EventRecordID>94677</EventRecordID><Correlation/><Execution ProcessID='3768' ThreadID='4756'/><Channel>Microsoft-Windows-Sysmon/Operational</Channel><Computer>target-PC.furkan.local</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='RuleName'>-</Data><Data Name='UtcTime'>2024-10-22 23:41:03.813</Data><Data Name='ProcessGuid'>{d65c0252-380e-6718-fe0c-000000002400}</Data><Data Name='ProcessId'>11228</Data><Data Name='Image'>C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe</Data><Data Name='TargetFilename'>C:\Users\bsever\Downloads\1729640433_11.csv</Data><Data Name='CreationUtcTime'>2024-10-22 23:40:56.032</Data><Data Name='Hash'>SHA1=70ED4887ECD3DA96FEF2F5E18B7B518950751B67,MD5=E4F0390EACD96FAB0445FADD3E119EF1,SHA256=50DA971F4F1143C0AC7B72E6BCB30B973A75E387664F98A7166C15CFB837FD51,IMPHASH=00000000000000000000000000000000</Data><Data Name='Contents'>-</Data><Data Name='User'>FURKAN\bsever</Data></EventData></Event>","2024-10-22T23:41:03.000+0000",,,"TARGET-PC",endpoint,1,,,"<_='://../////'><><_='--'_='{----}'/><></><></><><","XmlWinEventLog:Microsoft-Windows-Sysmon/Operational","XmlWinEventLog:Microsoft-Windows-Sysmon/Operational",splunk,,,,,"'http://schemas.microsoft.com/win/2004/08/events/event'",,,,
,,,,,,,,,,,"'{5770385f-c22a-43e0-bf4c-06f5698ffbd9}'",,,,,,,,"366B721C3F865C3EEF77FD44AFD01125</Data><Data Name='Signed'>true</Data><Data Name='Signature'>Microsoft",,,,,,,,E19D9DA3CD07FA3B514EE23E82D7A7B3,,"'Microsoft-Windows-Sysmon'",,,,,,,,,"'3768'",,3CA83F413318EE4C89E599C1F4AAF8D591F892B9,DA940D7714C60582A21412D051E2C922347A05A8C9D53F3AA889BD82027C8078,,,"'2024-10-22T23:41:03.7254700Z'",,"'4764'",,"'S-1-5-18'",,,"<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Sysmon' Guid='{5770385f-c22a-43e0-bf4c-06f5698ffbd9}'/><EventID>7</EventID><Version>3</Version><Level>4</Level><Task>7</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2024-10-22T23:41:03.7254700Z'/><EventRecordID>94676</EventRecordID><Correlation/><Execution ProcessID='3768' ThreadID='4764'/><Channel>Microsoft-Windows-Sysmon/Operational</Channel><Computer>target-PC.furkan.local</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='RuleName'>technique_id=T1574.002,technique_name=DLL Side-Loading</Data><Data Name='UtcTime'>2024-10-22 23:41:03.715</Data><Data Name='ProcessGuid'>{d65c0252-380e-6718-fe0c-000000002400}</Data><Data Name='ProcessId'>11228</Data><Data Name='Image'>C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe</Data><Data Name='ImageLoaded'>C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.24080.9-0\MpClient.dll</Data><Data Name='FileVersion'>4.18.24080.9 (f49fb7de0d838aeebbdbd940314a35a90705840e)</Data><Data Name='Description'>Client Interface</Data><Data Name='Product'>Microsoft® Windows® Operating System</Data><Data Name='Company'>Microsoft Corporation</Data><Data Name='OriginalFileName'>mpclient.dll</Data><Data Name='Hashes'>SHA1=3CA83F413318EE4C89E599C1F4AAF8D591F892B9,MD5=E19D9DA3CD07FA3B514EE23E82D7A7B3,SHA256=DA940D7714C60582A21412D051E2C922347A05A8C9D53F3AA889BD82027C8078,IMPHASH=366B721C3F865C3EEF77FD44AFD01125</Data><Data Name='Signed'>true</Data><Data Name='Signature'>Microsoft Windows</Data><Data Name='SignatureStatus'>Valid</Data><Data Name='User'>FURKAN\bsever</Data></EventData></Event>","2024-10-22T23:41:03.000+0000",,,"TARGET-PC",endpoint,1,,,"<_='://../////'><><_='--'_='{----}'/><></><></><><","XmlWinEventLog:Microsoft-Windows-Sysmon/Operational","XmlWinEventLog:Microsoft-Windows-Sysmon/Operational",splunk,,"T1574.002",DLL,,"'http://schemas.microsoft.com/win/2004/08/events/event'",,,,
